Building_ID,Building_Name,Latitude,Longitude,Building RSU,RFS_Status,Location Type,Total HPs,Total Spare,Actual Util Count,Util %,Final Tagging
16329,AADI ALLURE_14J,19.12989623,72.93838397,AADI ALLURE E WING (EMILLIA)_14J,RFS,High-rise,80,73,7,9%,Rest
LCO1148,Aaditi CHS_7MD,19.20801512,73.09094817,Aaditi CHS_7MD,RFS,GHS,8,5,3,38%,Rest
197703,Aaditya Avenue_XQL,18.9571347,72.82081046,Aaditya Avenue A Wing_XQL,RFS,High-rise,32,16,16,50%,Rest
187109,Gurukrupa Chs -Aditya Gurukrupa Building_ORA,18.98456274,73.11183649,Aaditya Gurukripa society_ORA,RFS,GHS,40,40,0,0%,Zero utilised
79431,Aaditya Heights_AG7,18.97010266,72.81713154,Aaditya Heights A WING_AG7,RFS,High-rise,64,13,51,80%,Rest
79431,Aaditya Heights_AG7,18.97010266,72.81713154,Aaditya Heights B WING_AG7,RFS,High-rise,64,29,35,55%,Rest
79431_1,Aaditya Heights_AG7,18.97019973,72.81739019,Aaditya Heights C-Wing_AG7,RFS,High-rise,96,61,35,36%,Rest
191839,Aaditya Pride CHS_1JG,18.95597801,72.82149949,Aaditya Pride CHS_1JG,RFS,High-rise,64,44,20,31%,Rest
173324,Aaditya Residency_LAA,18.96041197,72.81680746,Aaditya Residency_LAA,RFS,High-rise,120,63,57,48%,P1
201654,Aaditya Rudra CHS_AR0,18.97639689,73.10345778,Aaditya Rudra CHS_AR0,RFS,High-rise,56,41,15,27%,Rest
19828,Aafiyah Heights_1BK,18.96443479,72.83130991,Aafiyah Heights_1BK,RFS,High-rise,200,152,48,24%,P1
171322,Aagman CHS_0EX,19.27474724,72.87223468,Aagman CHS Wing-C1_0EX,RFS,Flatbed,8,4,4,50%,Rest
186334,Aagman Residency_1H5,19.17312964,72.94985047,Aagman Residency_1H5,RFS,High-rise,56,48,8,14%,Rest
170876,Aai Ekveera_0O2,19.14790035,72.990856,Aai Ekveera_0O2,RFS,High-rise,16,14,2,13%,Rest
37968,Aaiji Complex_1H4,19.01713754,73.09758766,Aaiji Complex_1H4,RFS,High-rise,40,27,13,33%,Rest
48123,Aaiji Enclave Building_2SB,19.29649785,72.86216997,Aaiji Enclave Building_2SB,RFS,High-rise,24,18,6,25%,Rest
LCO2199,Aaiji Heights_YS6,18.97359312,73.11058858,Aaiji Heights_YS6,RFS,High-rise,48,47,1,2%,Rest
LCO2200,Aaiji Hill CHSL_YS6,18.97265424,73.10922083,Aaiji Hill CHSL_YS6,RFS,GHS,32,31,1,3%,Rest
201990,Aaiji Park C.H.S_AR0,18.97570153,73.10422436,Aaiji Park C.H.S_AR0,RFS,High-rise,56,52,4,7%,Rest
53576,Aakaar Complex_AAE,19.2858052,72.86002281,Aakaar Complex (New Aakar CHS) A-Wing_AAE,RFS,High-rise,24,21,3,13%,Rest
53576,Aakaar Complex_AAE,19.2858052,72.86002281,Aakaar Complex (New Aakar CHS) B-Wing_AAE,RFS,High-rise,32,31,1,3%,Rest
129012,Aakanksha CHS_MUA,19.1645771,72.96162673,Aakanksha CHS A WING_MUA,RFS,High-Rise,32,24,8,25%,Rest
129012,Aakanksha CHS_MUA,19.1645771,72.96162673,Aakanksha CHS B WING_MUA,RFS,High-Rise,32,25,7,22%,Rest
37251,Aakanksha Garden CHSL_THQ,19.2328679,72.9728871,Aakanksha Garden CHSL A WING_THQ,RFS,High-rise,48,46,2,4%,Rest
37251,Aakanksha Garden CHSL_THQ,19.2328679,72.9728871,Aakanksha Garden CHSL B WING_THQ,RFS,High-rise,40,30,10,25%,Rest
16325,Aakanksha Tower_1OI,19.13766122,72.8123077,Aakanksha Tower Wing-A_1OI,RFS,High-rise,32,28,4,13%,Rest
16325,Aakanksha Tower_1OI,19.13766122,72.8123077,Aakanksha Tower Wing-B_1OI,RFS,High-rise,32,22,10,31%,Rest
192736,Aakar Apartment_2RW,19.17613409,72.87335232,Aakar Apartment A Wing_2RW,RFS,High-rise,16,12,4,25%,Rest
192737,Aakar Apartment_2RW,19.17610376,72.87333982,Aakar Apartment B Wing_2RW,RFS,High-rise,16,4,12,75%,Rest
173074,Aakar Lasertech Pvt Ltd_IT1,19.14341296,73.01550461,Aakar Lasertech Pvt Ltd Plot No-W-409_IT1,RFS,Flatbed,8,6,2,25%,Rest
